City,Price,Day,Room Type,Shared Room,Private Room,Person Capacity,Superhost,Multiple Rooms,Business,Cleanliness Rating,Guest Satisfaction,Bedrooms,City Center _km_,Metro Distance _km_,Attraction Index,Normalised Attraction Index,Restraunt Index,Normalised Restraunt Index
Vienna,265.526,Weekday,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,10,70,0,2.1702,0.3717,126.7014,9.0738,165.4302,3.9547
Vienna,171.7972,Weekday,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,8,70,1,3.4499,0.5126,104.0173,7.4493,137.7139,3.2922
Vienna,265.526,Weekend,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,10,70,0,2.1702,0.3717,126.7022,9.0736,165.4314,3.9984
Vienna,177.4069,Weekend,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,8,70,1,3.4499,0.5125,104.0173,7.449,137.7138,3.3285
Barcelona,104.0333,Weekday,Private room,FALSE,TRUE,2,FALSE,1,0,6,71,1,2.3112,0.1912,276.3501,9.4185,616.353,13.5678
Barcelona,224.591,Weekend,Private room,FALSE,TRUE,2,FALSE,0,0,6,71,1,0.4839,0.3299,803.6749,31.0308,1588.8652,34.902
Barcelona,104.0333,Weekend,Private room,FALSE,TRUE,2,FALSE,1,0,6,71,1,2.3112,0.1912,276.3512,10.6702,616.3567,13.5393
Berlin,134.6172,Weekday,Private room,FALSE,TRUE,2,FALSE,0,1,8,71,1,3.9264,0.3678,171.8327,26.1993,177.6105,36.6221
Berlin,125.2688,Weekday,Private room,FALSE,TRUE,2,FALSE,0,1,9,71,1,3.7886,0.2637,200.8583,30.6248,184.8743,38.1198
Berlin,134.6172,Weekend,Private room,FALSE,TRUE,2,FALSE,0,1,8,71,1,3.9264,0.3678,171.8327,26.1908,177.6109,37.5771
Berlin,125.2688,Weekend,Private room,FALSE,TRUE,2,FALSE,0,1,9,71,1,3.7886,0.2637,200.8555,30.6145,184.8745,39.1138
Lisbon,199.8124,Weekday,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,8,71,1,1.0204,0.4083,894.8715,29.5435,898.9091,40.2026
Lisbon,108.349,Weekday,Private room,FALSE,TRUE,2,FALSE,0,1,9,71,1,2.1357,0.4406,118.1114,3.8994,306.7527,13.7191
Lisbon,95.2158,Weekday,Private room,FALSE,TRUE,2,FALSE,0,1,6,71,1,2.3849,0.9987,111.7302,3.6887,259.0456,11.5855
Lisbon,198.8743,Weekend,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,8,71,1,1.0205,0.4082,894.8917,29.5165,898.3722,50.4909
Lisbon,107.8799,Weekend,Private room,FALSE,TRUE,2,FALSE,0,1,9,71,1,2.1357,0.4406,118.1122,3.8957,306.7551,17.2404
Lisbon,94.9812,Weekend,Private room,FALSE,TRUE,2,FALSE,0,1,6,71,1,2.3849,0.9987,111.7298,3.6852,259.0442,14.559
Lisbon,155.9568,Weekend,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,9,71,0,0.8098,0.6217,240.0729,7.9184,752.1908,42.2751
Paris,339.5004,Weekday,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,8,71,0,0.8832,0.1848,459.5619,22.3713,1114.3389,65.478
Paris,129.3224,Weekday,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,8,71,1,4.706,0.2898,342.7965,16.6872,709.4896,41.6893
Paris,188.0418,Weekday,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,10,71,0,2.4606,0.0512,447.0903,21.7642,1101.132,64.702
Paris,151.4587,Weekday,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,6,71,1,2.7221,0.3091,234.7618,11.4281,596.4886,35.0494
Paris,339.5004,Weekend,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,8,71,0,0.8833,0.1848,459.5579,22.346,1114.3313,51.4067
Paris,188.0418,Weekend,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,10,71,0,2.4606,0.0512,447.0891,21.7397,1101.1326,50.7978
Paris,151.6917,Weekend,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,6,71,1,2.7221,0.3091,234.762,11.4153,596.4885,27.5174
Rome,193.5801,Weekday,Private room,FALSE,TRUE,2,FALSE,0,0,8,71,1,0.3365,0.3865,422.7278,9.3677,1132.0899,24.6488
Rome,193.5801,Weekend,Private room,FALSE,TRUE,2,FALSE,0,0,8,71,1,0.3365,0.3865,422.7329,9.3658,1132.0921,24.6655
Athens,138.9637,Weekday,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,7,72,0,0.8084,0.4567,273.4326,10.3095,190.7489,14.3226
Athens,138.9637,Weekend,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,7,72,0,0.8084,0.4567,273.3521,10.2993,190.7472,2.8486
Barcelona,138.9438,Weekday,Private room,FALSE,TRUE,2,FALSE,1,0,7,72,1,0.2844,0.2118,706.8218,24.0896,1442.6962,31.7582
Barcelona,214.1178,Weekday,Private room,FALSE,TRUE,2,FALSE,1,0,8,72,1,2.8402,0.2088,288.1868,9.8219,540.1579,11.8905
Barcelona,138.9438,Weekend,Private room,FALSE,TRUE,2,FALSE,1,0,7,72,1,0.2844,0.2118,706.7948,27.2902,1442.6505,31.6902
Barcelona,161.9848,Weekend,Private room,FALSE,TRUE,2,FALSE,0,1,8,72,1,1.4272,0.4837,350.3431,13.5272,869.4663,19.0993
Barcelona,214.1178,Weekend,Private room,FALSE,TRUE,2,FALSE,1,0,8,72,1,2.8401,0.2089,288.1895,11.1273,540.1666,11.8656
Lisbon,164.8687,Weekday,Private room,FALSE,TRUE,2,FALSE,0,1,8,72,1,0.7434,0.6402,263.6885,8.7055,825.1937,36.9057
Lisbon,158.5366,Weekend,Private room,FALSE,TRUE,2,FALSE,0,1,8,72,1,0.7434,0.6403,263.6784,8.697,825.1784,46.3772
Paris,254.6836,Weekday,Entire home/apt,FALSE,FALSE,2,FALSE,1,0,7,72,0,5.5224,0.5612,202.9327,9.8787,406.6605,23.8952
Paris,254.6836,Weekend,Entire home/apt,FALSE,FALSE,2,FALSE,1,0,7,72,0,5.5224,0.5612,202.9329,9.8676,406.661,18.7602
Rome,175.8118,Weekday,Private room,FALSE,TRUE,2,FALSE,0,1,7,72,1,2.8986,0.6347,593.0687,13.1425,1456.9902,31.7228
Rome,230.9868,Weekend,Private room,FALSE,TRUE,2,FALSE,0,1,7,72,1,2.8986,0.6347,593.0753,13.1398,1456.986,31.7442
Athens,69.599,Weekday,Entire home/apt,FALSE,FALSE,2,FALSE,1,0,8,73,1,2.4617,0.6183,69.0739,2.6044,103.7258,7.7884
Athens,106.3905,Weekday,Entire home/apt,FALSE,FALSE,2,TRUE,0,1,9,73,1,1.7829,0.5302,164.3298,6.1959,191.783,14.4002
Athens,103.1097,Weekday,Entire home/apt,FALSE,FALSE,2,FALSE,1,0,8,73,1,3.1431,0.4315,55.8081,2.1042,82.1304,6.1669
Athens,69.599,Weekend,Entire home/apt,FALSE,FALSE,2,FALSE,1,0,8,73,1,2.4617,0.6183,69.0742,2.6026,103.7257,1.549
Athens,103.1097,Weekend,Entire home/apt,FALSE,FALSE,2,FALSE,1,0,8,73,1,3.1431,0.4315,55.8083,2.1027,82.1307,1.2265
Barcelona,156.1664,Weekday,Private room,FALSE,TRUE,2,FALSE,1,0,10,73,1,1.4065,0.6672,522.1871,17.797,983.0292,21.6395
Barcelona,190.8441,Weekday,Private room,FALSE,TRUE,2,FALSE,0,1,9,73,1,1.3032,0.3887,442.2217,15.0716,863.4871,19.008
Barcelona,196.8953,Weekday,Private room,FALSE,TRUE,2,FALSE,0,1,9,73,1,1.7687,0.1794,340.2081,11.5948,895.0976,19.7039
Barcelona,133.1254,Weekday,Private room,FALSE,TRUE,2,FALSE,1,0,7,73,2,4.0058,0.3539,224.0154,7.6348,359.1202,7.9053
Barcelona,134.2891,Weekday,Private room,FALSE,TRUE,2,FALSE,1,0,7,73,1,2.5821,0.3342,313.4955,10.6844,566.9766,12.4809
